Horodateur,Genre,Êtes vous?,Quelle était votre série en Terminale ?,Quelle a été votre matière préférée au Lycée?,"Si vous êtes étudiant, quel parcours suivez vous? ou 
Si vous êtes un professionnel, dans quelle domaine exercez vous?",Quel(s) Caractère(s) définissent votre personnalité ?,Quels sont vos centres d’intérêts ?,Êtes vous satisfait de votre parcours académique ?,Votre travail actuel est il en adéquation avec votre parcours académique?,Ou avez vous fait vos études supérieurs ?
26/08/2026 12:50:24,,Un Professionnel,C,Mathématique et Physique-Chimie,Education,"Entreprenant : Diriger, Convaincre, Negocier",Football- Enseignement- Lecture.,,,
26/08/2026 12:56:07,,Encore Etudiant,C,"Mathématiques, SVT",Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer, Conventionnel : Organiser, Gerer, Structurer",Domaine de la tech,,,
26/08/2026 12:57:32,,Encore Etudiant,D,Mathematique,Finances et Comptabilité,"Entreprenant : Diriger, Convaincre, Negocier",Develeppement personnel,,,
26/08/2026 12:58:11,,Encore Etudiant,C,"Maths, PC ",Électronique / Systèmes Informatiques,"Realiste : Manipuler, Construire, Reparer, Artistique : Creer, Imaginer, S'exprimer, Entreprenant : Diriger, Convaincre, Negocier",Argents,,,
26/08/2026 12:58:41,,Un Professionnel,TGI,Électrotechnique ,Génie Industriel / Électro-Mécanique Industrielle,"Investigateur : Comprendre, Analyser, Resoudre",Randonnée,,,
26/08/2026 12:59:23,,Un Professionnel,C,"SVT , Physique Chimie, Histo geo ",Intelligence Artificielle,"Social : Prompt à Aider, Enseigner, Accompagner","IA , tech ,lecture dev personnel ",,,
26/08/2026 13:00:21,,Encore Etudiant,D,Science de la vie et de la terre,Finances et Comptabilité,"Entreprenant : Diriger, Convaincre, Negocier",Étude ,,,
26/08/2026 14:44:03,Homme,Encore Etudiant,C,Chimie,Électronique / Systèmes Informatiques,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer, Conventionnel : Organiser, Gerer, Structurer","Karate, Videos Internet, Reseaux Sociaux niches, Meme, Jeux Videos, Jeux de strategie, Connaissances Occultes",4,,ISPM
26/08/2026 13:02:45,,Encore Etudiant,C,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre",Hiking ,,,
26/08/2026 13:03:23,,Encore Etudiant,D,SVT,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Économie et Management de Projet","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer, Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","Musique , Football , Manger ...",,,
26/08/2026 13:05:02,,Encore Etudiant,D,Svt ,Génie Civil et Architecture,"Realiste : Manipuler, Construire, Reparer",La réussite ,,,
26/08/2026 13:05:28,,Encore Etudiant,C,Physique ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Investigateur : Comprendre, Analyser, Resoudre, Conventionnel : Organiser, Gerer, Structurer","Jogging, Littératures scientifiques, Bandes dessinées ",,,
26/08/2026 13:06:23,,Un Professionnel,S,Mathématiques ,Environnement,"Conventionnel : Organiser, Gerer, Structurer",Randonnée ,,,
26/08/2026 13:06:37,,Encore Etudiant,C,Maths,"Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer","Musculation, crochet",,,
26/08/2026 13:08:24,,Encore Etudiant,D,Mathématique ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer",J'adore tout chose qui permet d'evoluer,,,
26/08/2026 13:09:28,,Encore Etudiant,D,"Mathématiques, physique, philosophie ",Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer","Jeux vidéos, kick boxing, chanter , lire des revus scientifiques ",,,
26/08/2026 13:13:41,,Encore Etudiant,D,Maths,Intelligence Artificielle,"Realiste : Manipuler, Construire, Reparer, Entreprenant : Diriger, Convaincre, Negocier",Tout ce qui est multimédia,,,
26/08/2026 13:13:52,,Un Professionnel,D,"Math, Physique et Histo-Géo",Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre","Film, jeux Video et musique",,,
26/08/2026 13:14:33,,Encore Etudiant,D,Physique Chimie,Pharmacologie et Industries Pharmaceutiques,"Artistique : Creer, Imaginer, S'exprimer, Conventionnel : Organiser, Gerer, Structurer","Lire , voyager ",,,
26/08/2026 13:14:53,,Encore Etudiant,D,Malagasy,Génie Industriel / Électro-Mécanique Industrielle,"Realiste : Manipuler, Construire, Reparer",Judo,3,,
26/08/2026 13:16:05,,Encore Etudiant,A,Le français ,Droit et Techniques Juridiques des Affaires,"Artistique : Creer, Imaginer, S'exprimer",La lecture ,1,,
26/08/2026 13:16:30,,Encore Etudiant,D,Maths,"Intelligence Artificielle, Électronique / Systèmes Informatiques","Artistique : Creer, Imaginer, S'exprimer","Volley, Karting, peinture, dessin",5,5,
26/08/2026 13:19:02,,Un Professionnel,D,Svt,Agriculture et Élevage,"Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer",Boardgames,3,Oui,Ispm
26/08/2026 13:19:18,,Encore Etudiant,D,Malagasy,Industrie Agroalimentaire,"Investigateur : Comprendre, Analyser, Resoudre",Jeux video,3,Non,
26/08/2026 13:20:27,,Un Professionnel,A,Mathématiques,"Finances et Comptabilité, Industrie Agroalimentaire","Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","Jeux vidéos, Bénévolat en association, Randonnées moto",3,,
26/08/2026 13:20:51,,Encore Etudiant,C,Mathématiques ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Économie et Management de Projet, Industrie Agroalimentaire","Investigateur : Comprendre, Analyser, Resoudre",Musique ,2,Non,
26/08/2026 13:21:28,,Un Professionnel,D,Physique Chimie,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Investigateur : Comprendre, Analyser, Resoudre, Social : Prompt à Aider, Enseigner, Accompagner","Jeux vidéo, voyage, documentaire, ...",4,Oui,IESI
26/08/2026 13:24:44,Femme,Encore Etudiant,D,Mathematiques,Informatique / Technologies de l’Information et de la Communication,"Conventionnel : Organiser, Gerer, Structurer","Lecture, randonnée ",3,,Ispm Antsobolo 
26/08/2026 13:26:54,Femme,Encore Etudiant,D, Histoire et géographie ,Droit et Techniques Juridiques des Affaires,"Entreprenant : Diriger, Convaincre, Negocier"," Lire des livres de la 2nde GM, art oratoire ",5,, Inspnmad et ISPM 
26/08/2026 13:27:29,Femme,Encore Etudiant,D,Français ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Realiste : Manipuler, Construire, Reparer, Social : Prompt à Aider, Enseigner, Accompagner",Lire ,3,,ISPM
26/08/2026 13:27:32,Homme,Encore Etudiant,D,Physique,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Investigateur : Comprendre, Analyser, Resoudre","Musique, films & séries",4,Oui,ITU
26/08/2026 13:30:18,Femme,Encore Etudiant,D,Matières scientifiques ,"Industries Chimiques, Minières et Pétrolières","Artistique : Creer, Imaginer, S'exprimer, Entreprenant : Diriger, Convaincre, Negocier","Chimie, industrie et environnement
Énergie, pétrole et mines
Sport et musculation
Voyage, aventure et camping
Créativité et activités associatives
Développement personnel",3,Oui,"l’ISPM, en Industrie Chimique des Mines et Pétroliers. "
26/08/2026 13:31:09,Homme,Encore Etudiant,D,Mathématiques et SV,"Intelligence Artificielle, Électronique / Systèmes Informatiques","Artistique : Creer, Imaginer, S'exprimer, Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","Foot, jeux vidéo, film,  dev",3,Non,ISPM
26/08/2026 13:33:15,Homme,Encore Etudiant,C,Physique ,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer",Musique ,2,,
26/08/2026 13:33:19,Homme,Encore Etudiant,C,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Conventionnel : Organiser, Gerer, Structurer",Rien,3,,ISPM
26/08/2026 13:33:37,Homme,Encore Etudiant,S,Science biologie humaine ,Droit et Techniques Juridiques des Affaires,"Social : Prompt à Aider, Enseigner, Accompagner",Téléphone ,4,,ISPM 
26/08/2026 13:34:49,Homme,Un Professionnel,C,Math/PC,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre",Automobile,4,Oui,ITU
26/08/2026 13:37:03,Homme,Encore Etudiant,C,Maths,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre",F,2,,ITU
26/08/2026 13:37:35,Homme,Encore Etudiant,D,Mathématiques ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre","Musique, Basketball, Football, Tennis de table ",5,Oui,ISPM Antsobo
26/08/2026 13:39:02,Homme,Encore Etudiant,S,Mathématiques ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","Codage, football, réseau informatique,film",5,Non,Institut Supérieur Polytechnique de Madagascar 
26/08/2026 13:39:38,Homme,Un Professionnel,D,Mathématique ,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer",Coder,3,Non,Oui
26/08/2026 13:48:35,Homme,Encore Etudiant,D,Anglais,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer",Programmation,,,ISPM
26/08/2026 13:50:40,Homme,Encore Etudiant,C,Physique,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Investigateur : Comprendre, Analyser, Resoudre, Conventionnel : Organiser, Gerer, Structurer","Jogging, Littératures scientifiques, Bandes dessinées ",4,Oui,ISPM
26/08/2026 13:52:36,Homme,Un Professionnel,C,Physique,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques, Commerce et Administration des Affaires, Économie et Management de Projet, Finances et Comptabilité","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer, Conventionnel : Organiser, Gerer, Structurer",.,5,Non,iT University
26/08/2026 13:54:51,Femme,Encore Etudiant,D,Mathématiques ,Économie et Management de Projet,"Entreprenant : Diriger, Convaincre, Negocier",Lecture ,5,,ISPM
26/08/2026 13:55:51,Homme,Encore Etudiant,D,Physique-Chimie,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Social : Prompt à Aider, Enseigner, Accompagner, Entreprenant : Diriger, Convaincre, Negocier","Les jeux videos, l'apprentissage, la culture, les nouvelles decouvertes, le voyage, tout ce qui permets de se decouvrir sois meme, apprendre en generale ",4,Oui,HEI - Haute Ecole Informatique
26/08/2026 13:58:52,Homme,Encore Etudiant,C,Histoire et géographie ,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Investigateur : Comprendre, Analyser, Resoudre","Loisir entre famille, randonnée, sports",4,Oui,
26/08/2026 14:00:43,Homme,Un Professionnel,C,Mathématiques et Physiques ,"Informatique / Technologies de l’Information et de la Communication, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre","Basket, jeux vidéo",4,Oui,IT University 
26/08/2026 14:01:29,Homme,Encore Etudiant,C,Mathématique,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre","La musique, le monde de la technologie, la découverte ",3,,
26/08/2026 14:01:47,Homme,Encore Etudiant,D,Mathématiques ,"Intelligence Artificielle, Électronique / Systèmes Informatiques","Investigateur : Comprendre, Analyser, Resoudre",Gaming,2,,
26/08/2026 14:03:09,Homme,Un Professionnel,D,Mathématiques,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre, Social : Prompt à Aider, Enseigner, Accompagner","Cinéma, bricolage, formation personnelle",5,Oui,Antananarivo Madagascar 
26/08/2026 14:03:26,Homme,Encore Etudiant,L,Mathématiques et physique,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre",Jouer au jeux vidéo ,2,Non,Non
26/08/2026 14:04:46,Homme,Encore Etudiant,D,"Langues, Physique","Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Économie et Management de Projet, Finances et Comptabilité","Realiste : Manipuler, Construire, Reparer","Jeux, Mangas, Sport, Cuisine",3,Oui,ISPM
26/08/2026 14:05:22,Homme,Un Professionnel,C,Math,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle, Électronique / Systèmes Informatiques","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Conventionnel : Organiser, Gerer, Structurer",Gaming,4,Oui,ESPA
26/08/2026 14:06:39,Homme,Encore Etudiant,D,Mathématiques ,Informatique / Technologies de l’Information et de la Communication,"Investigateur : Comprendre, Analyser, Resoudre, Artistique : Creer, Imaginer, S'exprimer","Le basketball, la science et la tech, les échecs et le poker",5,Oui,Haute École d'Informatique 
26/08/2026 14:07:18,Femme,Encore Etudiant,S,"SES(science économique et sociale), Math","Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Artistique : Creer, Imaginer, S'exprimer, Entreprenant : Diriger, Convaincre, Negocier, Conventionnel : Organiser, Gerer, Structurer","Danser, chanter, dessiner ",3,Non,Encore à l'ISPM ( à voir ) 
26/08/2026 14:12:00,Homme,Encore Etudiant,C,Mathematiques,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Realiste : Manipuler, Construire, Reparer, Investigateur : Comprendre, Analyser, Resoudre, Social : Prompt à Aider, Enseigner, Accompagner","Jeux Video , Basket ,",4,Oui,oui
26/08/2026 14:12:28,Femme,Encore Etudiant,A,Anglais ,Agriculture et Élevage,"Entreprenant : Diriger, Convaincre, Negocier","Visiter des parcs ou fermes , musique, bénévolat",3,Oui,ISPM
26/08/2026 14:19:14,Homme,Un Professionnel,C,science physique,"Informatique / Technologies de l’Information et de la Communication, medecin veterinaire ","Investigateur : Comprendre, Analyser, Resoudre","coding , jeux video , lire des livres ",5,Non,Faculté de medecine d'Antananarivo
26/08/2026 14:32:42,Homme,Un Professionnel,C,Anglais,Informatique / Technologies de l’Information et de la Communication,"Realiste : Manipuler, Construire, Reparer, Artistique : Creer, Imaginer, S'exprimer",L'anglais et l'enseignement,2,Oui,EMIT Fianarantsoa
26/08/2026 14:35:14,Femme,Un Professionnel,TGI,Organisation,Informatique / Technologies de l’Information et de la Communication,"Artistique : Creer, Imaginer, S'exprimer","chanter, nager, danser",3,Oui,cntemad
26/08/2026 14:37:09,Femme,Encore Etudiant,D,Maths,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Investigateur : Comprendre, Analyser, Resoudre, Conventionnel : Organiser, Gerer, Structurer","La musique, la lecture ",3,,
26/08/2026 14:37:51,Homme,Encore Etudiant,D,Math,"Informatique / Technologies de l’Information et de la Communication, Intelligence Artificielle","Artistique : Creer, Imaginer, S'exprimer, Entreprenant : Diriger, Convaincre, Negocier",Musique,2,Oui,un-vak
26/08/2026 14:38:58,Homme,Encore Etudiant,OSE,Français,Hôtellerie,"Realiste : Manipuler, Construire, Reparer",Jeux vidéo ,4,Non,Nul part
26/08/2026 14:41:33,Femme,Encore Etudiant,S,Lycée Mixte Antsiranana ,"Industries Chimiques, Minières et Pétrolières","Investigateur : Comprendre, Analyser, Resoudre, Entreprenant : Diriger, Convaincre, Negocier","Lecture, Film , séries ",4,,
